WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Freq,LogFreq,Modality,AnyPositive,AllEqual
patent__v,-0.026429026,-0.036919955,-0.038581937,0,-0.047025966,patent,v,126,2.100370545,Olfactory,no,no
mop__v,0.053214274,-0.021060143,0,0,-0.012442341,mop,v,211,2.324282455,Visual,yes,no
stringent__a,-0.034848953,-0.013365553,-0.082582194,0,-0.018441252,stringent,a,6,0.77815125,Olfactory,no,no
churchgo__v,0,0.02168426,0.064478334,0,0.030302062,churchgo,v,NA,NA,Gustatory,yes,no
shrub__n,0.031759679,0,-0.026294574,0,-0.014674142,shrub,n,14,1.146128036,Visual,yes,no
tragically__r,0,0.030089717,0,0,0.055569763,tragically,r,68,1.832508913,Haptic,yes,no
perplexed__a,0.071690465,0.019327218,0.043238415,0,-0.019107421,perplexed,a,17,1.230448921,Visual,yes,no
next-generation__a,0,-0.046883475,-0.004089401,0,0,next-generation,a,NA,NA,Visual,no,no
derive__v,-0.027790528,-0.070701596,-0.008417674,0,-0.061124511,derive,v,35,1.544068044,Olfactory,no,no
bio__n,-0.023776844,-0.006969664,0,0,0.001887293,bio,n,88,1.944482672,Haptic,no,no
croissant__n,0.020495246,0,0.162111856,0,0,croissant,n,45,1.653212514,Gustatory,yes,no
pertinent__a,-0.039213725,0.012567045,0,0,0,pertinent,a,60,1.77815125,Auditory,yes,no
barbecue__v,0,0.055702807,0.09849688,0,0,barbecue,v,456,2.658964843,Gustatory,yes,no
nozzle__n,0.036645611,0,0,0,0.060473217,nozzle,n,19,1.278753601,Haptic,yes,no
speculative__a,-0.015611543,0.036706722,0.019764025,0,-0.006101572,speculative,a,12,1.079181246,Auditory,yes,no
barbecue__n,-0.044632424,0.001583885,0.071964561,0.111668248,0.002422937,barbecue,n,456,2.658964843,Olfactory,yes,no
dismantle__v,-0.043130337,-0.043330789,-0.035844022,0,-0.015960297,dismantle,v,46,1.662757832,Olfactory,no,no
europeans__n,0.015697404,-0.055025763,-0.055927179,0,-0.00405345,europeans,n,46,1.662757832,Visual,yes,no
famine__n,-0.036282101,-0.047078668,0.010283415,0,0.05334186,famine,n,81,1.908485019,Haptic,yes,no
meanest__a,0,0.057248637,0,0,0,meanest,a,95,1.977723605,Auditory,yes,no
disenchanted__a,0.040580646,-0.017459524,0,0,-0.008841722,disenchanted,a,6,0.77815125,Visual,yes,no
gargantuan__a,0.067011576,0,0,0,0,gargantuan,a,18,1.255272505,Visual,yes,no
warden__n,0.026570211,-0.003927238,0.040054431,0,-0.022205432,warden,n,573,2.758154622,Gustatory,yes,no
include__v,-0.003787285,-0.06639809,0.006555091,-0.065737895,-0.050498037,include,v,568,2.754348336,Gustatory,no,no
brickle__n,0,0,0,0,0.093856978,brickle,n,12,1.079181246,Haptic,yes,no
jetliner__n,-0.027898934,0.047838195,0,0,-0.001076709,jetliner,n,3,0.477121255,Auditory,yes,no
proprietary__a,-0.013976838,0.009000281,0,0,0,proprietary,a,23,1.361727836,Auditory,no,no
deliberation__n,-0.013175646,-0.003371342,-0.052586607,0,-0.042567516,deliberation,n,20,1.301029996,Olfactory,no,no
frontcourt__n,0,-0.009615736,0.033178337,0,-0.000997935,frontcourt,n,NA,NA,Gustatory,yes,no
laramie__n,0.069979672,0,0.104897806,0,0,laramie,n,NA,NA,Gustatory,yes,no
excavate__v,-0.014469367,0,0.046577777,0,0,excavate,v,10,1,Gustatory,yes,no
free-flowing__a,0.050788395,0,0.086560173,0,0,free-flowing,a,NA,NA,Gustatory,yes,no
drooping__a,0.074964391,0,0,0,0,drooping,a,7,0.84509804,Visual,yes,no
flare__v,0.103828396,-0.047894345,0,0,-0.057784271,flare,v,215,2.33243846,Visual,yes,no
indifferent__a,-0.068473445,-0.03388391,0,0,-0.0440497,indifferent,a,58,1.763427994,Gustatory,no,no
obsessively__r,0.031690925,0,0.064478334,0,0,obsessively,r,10,1,Gustatory,yes,no
schedule__v,-0.029581139,-0.036490652,-0.038745804,-0.078091443,-0.039447138,schedule,v,1518,3.181271772,Visual,no,no
bank__n,-0.007935821,-0.012397131,-0.046476665,-0.084142806,-0.019986864,bank,n,4334,3.636888907,Visual,no,no
remorseful__a,0.025343722,0,0,0,0.052371023,remorseful,a,16,1.204119983,Haptic,yes,no
dwelling__n,-0.020816569,0,0.01197084,0,0,dwelling,n,68,1.832508913,Gustatory,yes,no
bank__v,0.045077355,-0.097236365,0.03915446,0,-0.042976988,bank,v,4334,3.636888907,Visual,yes,no
reclusive__a,0.036645611,-0.036617776,0,0,0,reclusive,a,16,1.204119983,Visual,yes,no
sage__a,0.094278698,0,0.047006127,0,0.012829855,sage,a,89,1.949390007,Visual,yes,no
supposed__a,-0.005076613,-0.041948238,0.000845836,0,0,supposed,a,12865,4.109409791,Gustatory,no,no
assuredly__r,0.014218718,0.004212054,0,0,0,assuredly,r,16,1.204119983,Visual,yes,no
schedule__n,-0.037292719,-0.000903026,-0.03030767,-0.099271992,-0.003258554,schedule,n,1518,3.181271772,Auditory,no,no
disbelieve__v,0.032570392,0,0.037476294,0,0.003300023,disbelieve,v,8,0.903089987,Gustatory,yes,no
presidential__a,-0.001781472,-0.013912302,-0.111753753,-0.099202703,-0.045689214,presidential,a,285,2.45484486,Visual,no,no
format__n,-0.042236173,0.001445618,-0.080996199,0,0.002003346,format,n,54,1.73239376,Haptic,no,no
rotation__n,-0.017436898,-0.011184831,-0.00512342,0,0.003725283,rotation,n,149,2.173186268,Haptic,no,no
word__n,-0.017956883,-0.008067438,-0.043581466,-0.097821395,-0.027372584,word,n,12013,4.079651477,Auditory,no,no
word__v,0,0.029007108,0,0,0,word,v,12013,4.079651477,Auditory,yes,no
marketable__a,0.014906821,0,0.065886878,0,0,marketable,a,14,1.146128036,Gustatory,yes,no
two-way__a,-0.053613151,0.021611194,0,0,0.006409696,two-way,a,NA,NA,Auditory,yes,no
artthielseattle-pi__a,0,0,0,0,0.096481461,artthielseattle-pi,a,NA,NA,Haptic,yes,no
mmcguire__a,0.009283481,0,0,0,0,mmcguire,a,NA,NA,Visual,no,no
remove__v,-0.043361204,-0.031728925,0.071875681,0.010418695,-0.01361767,remove,v,1084,3.035029282,Gustatory,yes,no
crawfish__a,0,0,0.185209575,0,0,crawfish,a,13,1.113943352,Gustatory,yes,no
remove__r,0,0,0.079338628,0,0.074167058,remove,r,1084,3.035029282,Gustatory,yes,no
recur__v,-0.034848953,-0.006873851,-0.038184511,0,-0.036364232,recur,v,2,0.301029996,Olfactory,no,no
penne__n,0,0,0.169476462,0,0,penne,n,NA,NA,Gustatory,yes,no
vaccine__n,-0.031201693,0.012673104,-0.03579716,0,-0.029575639,vaccine,n,98,1.991226076,Auditory,yes,no
remove__a,-0.003646382,0,0.096020862,0,0,remove,a,1084,3.035029282,Gustatory,yes,no
supplier__n,-0.036152242,-0.015168204,-0.065303886,0,-0.008887456,supplier,n,99,1.995635195,Olfactory,no,no
high-speed__a,-0.062949035,-0.026414756,-0.100449491,0,-0.012781479,high-speed,a,NA,NA,Olfactory,no,no
grown-ups__n,0.043951886,-0.018837737,0.014050153,0,0.01136583,grown-ups,n,NA,NA,Visual,yes,no
euthanasia__n,0.000390928,0,0.033178337,0,0,euthanasia,n,23,1.361727836,Gustatory,yes,no
flexibility__n,-0.035776086,0.004974912,-0.081534602,0,-0.030438903,flexibility,n,50,1.698970004,Auditory,no,no
clip__v,0.003288772,-0.03362882,0.013060447,0,-0.035034324,clip,v,290,2.462397998,Gustatory,yes,no
shoot-out__n,0,0,0,0,0.074167058,shoot-out,n,NA,NA,Haptic,yes,no
clip__n,0.022180798,-0.0416943,-0.043282523,0,-0.000360203,clip,n,290,2.462397998,Visual,yes,no
qigong__n,0.036805779,0,0.071179907,0,0,qigong,n,NA,NA,Gustatory,yes,no
fatherhood__n,0.048804027,-0.009615736,0,0,0,fatherhood,n,23,1.361727836,Visual,yes,no
obtain__v,0.009133677,-0.013160212,-0.114272867,0,-0.058342137,obtain,v,190,2.278753601,Visual,no,no
impel__v,0,0,-0.008683997,0,0.044260312,impel,v,3,0.477121255,Haptic,yes,no
daunt__v,0,0,0.057701114,0,-0.005035245,daunt,v,2,0.301029996,Gustatory,yes,no
outspoken__a,-0.02731678,-0.011847347,-0.040531161,0,-0.046505644,outspoken,a,25,1.397940009,Olfactory,no,no
tense__a,0.002774394,0.021706707,0.041011251,0,-0.054212391,tense,a,522,2.717670503,Gustatory,yes,no
sled__n,-0.034454899,0.001780937,0.063210221,0,0.026812967,sled,n,149,2.173186268,Gustatory,yes,no
bare__v,0,0,0.018318043,0,0,bare,v,425,2.62838893,Gustatory,yes,no
cleverly__r,0.009732747,0,0.060630919,0,-0.038265673,cleverly,r,45,1.653212514,Gustatory,yes,no
dumb__a,-0.014152213,0.031788684,-0.01314692,0,0.01352262,dumb,a,2395,3.379305518,Auditory,yes,no
sunglass__n,0.079406508,-0.021319432,0.035415403,0,-0.022861275,sunglass,n,7,0.84509804,Visual,yes,no
doggone__r,0,0.0653101,0,0,0,doggone,r,148,2.170261715,Auditory,yes,no
publicize__v,-0.037477828,0.010757804,-0.083096115,0,0.000568551,publicize,v,12,1.079181246,Auditory,yes,no
arc__n,0.002035915,-0.070838311,-0.025263219,0,-0.013146697,arc,n,247,2.392696953,Visual,no,no
emulate__v,-0.049066806,-0.021319432,-0.014692677,0.077421249,0.028354992,emulate,v,28,1.447158031,Olfactory,yes,no
migratory__a,0.075594463,0,0.079338628,0,0,migratory,a,14,1.146128036,Gustatory,yes,no
baseball__n,-0.012402616,-0.005715515,0.011611108,-0.042368769,-0.001702081,baseball,n,1288,3.109915863,Gustatory,yes,no
haltingly__r,0.088974827,0,0,0,0,haltingly,r,2,0.301029996,Visual,yes,no
happiness__n,-0.005608789,0.030250148,-0.066261914,0,-0.028323671,happiness,n,1249,3.096562438,Auditory,yes,no
naval__a,-0.015941054,-0.003687126,0,0,-0.065019856,naval,a,292,2.465382851,Gustatory,no,no
anarchy__n,0.009732747,-0.046883475,0.044106876,0,-0.011576215,anarchy,n,103,2.012837225,Gustatory,yes,no
certification__n,-0.037217407,-0.015041706,-0.037181492,0,-0.026103273,certification,n,19,1.278753601,Olfactory,no,no
contrite__a,0,0.042819052,0,0,0.031142986,contrite,a,11,1.041392685,Auditory,yes,no
topple__v,-0.019823924,-0.068611587,0,0,-0.032178898,topple,v,32,1.505149978,Gustatory,no,no
pricey__a,-0.053613151,0,-0.020825742,0,-0.00926961,pricey,a,32,1.505149978,Auditory,no,no
tribulation__n,0,0.022733652,0,0,-0.015858229,tribulation,n,2,0.301029996,Auditory,yes,no
sorry__a,0.03644492,0.028839801,-0.062093297,0,0.032245999,sorry,a,59566,4.774998437,Visual,yes,no
insulate__v,-0.033535827,-0.044332394,-0.011114838,0,0.021728097,insulate,v,14,1.146128036,Haptic,yes,no
thesis__n,-0.023447283,0.029839368,0,0,-0.024926402,thesis,n,174,2.240549248,Auditory,yes,no
sternly__r,0.039149812,-0.000758181,0,0,-0.038265673,sternly,r,4,0.602059991,Visual,yes,no
gust__n,-0.034017331,-0.003116629,-0.014692677,0,0.046004977,gust,n,24,1.380211242,Haptic,yes,no
eon__n,0.04784308,0,0,0,0,eon,n,13,1.113943352,Visual,yes,no
civil-rights__n,-0.027148452,-0.096519088,0,0,-0.043761016,civil-rights,n,NA,NA,Gustatory,no,no
creatively__r,0.026570211,-0.003927238,0,0,0,creatively,r,24,1.380211242,Visual,yes,no
pharmacology__n,0,0.080530821,0,0,0,pharmacology,n,5,0.698970004,Auditory,yes,no
complication__n,-0.003543603,-0.032884628,0.049718697,0,-0.010748302,complication,n,71,1.851258349,Gustatory,yes,no
unfailingly__r,0,0,0.061850465,0,0,unfailingly,r,2,0.301029996,Gustatory,yes,no
picturesque__a,0.020819604,-0.05147807,0,0,-0.016298317,picturesque,a,25,1.397940009,Visual,yes,no
due__a,-0.016378667,-0.001574374,-0.028195376,-0.062313962,-0.039826283,due,a,2275,3.356981401,Auditory,no,no
respite__n,0.020091697,0,0,0,-0.008841722,respite,n,24,1.380211242,Visual,yes,no
banal__a,0.043935482,0.023889779,-0.027842249,0,-0.035988237,banal,a,14,1.146128036,Visual,yes,no
due__r,0,0.035459098,0.015068851,0,0.008113705,due,r,2275,3.356981401,Auditory,yes,no
adamant__a,-0.05510099,-0.00784862,0.014050153,0,-0.0223471,adamant,a,50,1.698970004,Gustatory,yes,no
thinking__n,0.006311913,0.001506611,-0.037037368,0,-0.015761879,thinking,n,14353,4.156942685,Visual,no,no
service__n,-0.04076246,-0.017934535,-0.059800894,-0.176476286,-0.04592049,service,n,4076,3.610234175,Auditory,no,no
ipo__n,-0.006586849,-0.000869421,0.014335492,0.060414467,-0.020745234,ipo,n,NA,NA,Olfactory,yes,no
concentrate__n,-0.011053478,0,0.088132408,0,0,concentrate,n,798,2.902002891,Gustatory,yes,no
asylum__n,-0.013976838,0.009000281,0,0,0.008613201,asylum,n,234,2.369215857,Auditory,no,no
colder__a,0.031836513,0.021039946,-0.010867642,0,0.052085205,colder,a,127,2.103803721,Haptic,yes,no
concentrate__v,-0.028785545,0.024909668,-0.008232874,-0.027498386,-0.006186683,concentrate,v,798,2.902002891,Auditory,yes,no
service__v,-0.011021286,-0.036919955,0,0,0,service,v,4076,3.610234175,Gustatory,no,no
heave-ho__n,0,0.052810073,0,0,0.078649691,heave-ho,n,NA,NA,Haptic,yes,no
mystery__n,-0.031844952,-0.024632114,-0.025799395,-0.054609889,-0.041977183,mystery,n,1171,3.068556895,Auditory,no,no
cross-checked__v,0,0.059322713,0.037476294,0,0.031142986,cross-checked,v,NA,NA,Auditory,yes,no
sidetrack__v,-0.003646382,0.034080406,0,0,-0.005035245,sidetrack,v,3,0.477121255,Auditory,yes,no
entitle__v,0.007319398,0.012129962,-0.043667661,0.054306264,-0.073311968,entitle,v,22,1.342422681,Olfactory,yes,no
sprigs__a,0,0,0.167169098,0,0,sprigs,a,3,0.477121255,Gustatory,yes,no
entity__n,-0.034221085,-0.0186341,0.002216024,0,0.002120924,entity,n,86,1.934498451,Gustatory,no,no
extremity__n,-0.020816569,0.016079282,0,0,0.041337598,extremity,n,20,1.301029996,Haptic,yes,no
mountain__n,0.016334326,-0.050644534,0.006170421,0.006597882,-0.007149847,mountain,n,1805,3.256477206,Visual,yes,no
ruler__n,-0.107433183,-0.019292794,-0.098746898,0,0.015698581,ruler,n,162,2.209515015,Haptic,yes,no
havoc__n,-0.094980351,0.0224666,-0.016808537,0,0.043674009,havoc,n,69,1.838849091,Haptic,yes,no
rebound__n,-0.020447872,-0.021764971,0.069842118,0,0.045748749,rebound,n,142,2.152288344,Gustatory,yes,no
memorabilia__n,-0.00578726,-0.055123353,-0.010258295,0,0.002422937,memorabilia,n,25,1.397940009,Haptic,no,no
acoustic__n,0,0.058398498,0,0,0,acoustic,n,49,1.69019608,Auditory,yes,no
rebound__v,-0.033444964,-0.091617833,0.003278498,0,0.028922869,rebound,v,142,2.152288344,Haptic,yes,no
acoustic__a,0.009283481,-0.000723183,0,0,0.007894618,acoustic,a,49,1.69019608,Visual,no,no
geopolitics__n,0,0.043514065,0,0,0.052371023,geopolitics,n,4,0.602059991,Haptic,yes,no
amicable__a,0,0.012975747,0.009010565,0,0.0220106,amicable,a,13,1.113943352,Haptic,yes,no
respectively__r,-0.001150576,-0.037311447,0.011576683,0,-0.016761999,respectively,r,15,1.176091259,Gustatory,yes,no
semi-famous__a,0,0.060099852,0,0,0.069397922,semi-famous,a,NA,NA,Haptic,yes,no
trained__a,-0.069937136,0.022471404,-0.037149726,0,-0.026383581,trained,a,962,2.983175072,Auditory,yes,no
merge__v,-0.005417473,-0.01789174,-0.01515688,0,-0.015988789,merge,v,71,1.851258349,Olfactory,no,no
delayed__a,-0.065445868,-0.030709816,0,0,0.01810365,delayed,a,274,2.437750563,Haptic,yes,no
swoon__n,0.095223129,0,0.044804912,0,-0.053125967,swoon,n,31,1.491361694,Visual,yes,no
all-surrounding__a,0,0.073200037,0,0,0.082498107,all-surrounding,a,NA,NA,Haptic,yes,no
heart-breaking__a,0.055443772,0,0.088231181,0,0,heart-breaking,a,NA,NA,Gustatory,yes,no
toasted__a,-0.023540282,-0.034336848,0.141003217,0,-0.025038778,toasted,a,67,1.826074803,Gustatory,yes,no
formulate__v,-0.031800807,-0.019048721,0.003117327,0,5.60E-05,formulate,v,30,1.477121255,Gustatory,no,no
inflame__v,-0.020816569,0.03215976,0,0,-0.022205432,inflame,v,13,1.113943352,Auditory,yes,no
garnish__v,-0.070878797,0,0.165323585,0,-0.026103273,garnish,v,27,1.431363764,Gustatory,yes,no
garnish__n,0.01072222,0,0.138775435,0.096079313,-0.029031889,garnish,n,27,1.431363764,Gustatory,yes,no
quartet__n,-0.023540282,0.00245723,0,0,0.026063357,quartet,n,80,1.903089987,Haptic,yes,no
comprise__v,0.023375993,-0.076624989,-0.003551694,0,0,comprise,v,9,0.954242509,Visual,yes,no
israeli__a,-0.034307558,-0.011386722,-0.052985805,0,-0.005549804,israeli,a,10,1,Olfactory,no,no
palette__n,0.096508309,-0.091425564,-0.028311425,0,-0.026089708,palette,n,29,1.462397998,Visual,yes,no
ironman__a,0,0.015337058,0,0,0.023954859,ironman,a,1,0,Haptic,yes,no
striking__a,0.027877639,-0.082686316,0.012304786,-0.011752517,-0.035650274,striking,a,224,2.350248018,Visual,yes,no
depressing__a,0.034914226,-0.010240625,-0.027842249,0,-0.06201852,depressing,a,324,2.51054501,Visual,yes,no
rancid__a,0,0.064473463,0,0,0,rancid,a,25,1.397940009,Auditory,yes,no
clogged__a,0,-0.020433173,-0.004089401,0,0.024233665,clogged,a,56,1.748188027,Haptic,yes,no
denigrate__v,0.040580646,0.009807334,0,0,-0.008841722,denigrate,v,13,1.113943352,Visual,yes,no
talent__n,-0.011378499,0.01422475,-0.049440622,-0.096547429,-0.001978436,talent,n,1332,3.124504225,Auditory,yes,no
identifiable__a,0,0.019327218,0,0,0,identifiable,a,15,1.176091259,Auditory,yes,no
supposedly__r,0.011713877,-0.03237118,0.014082103,0.064604339,-0.007966043,supposedly,r,262,2.418301291,Olfactory,yes,no
deafening__a,0.046551219,0.036544555,0.131572337,0,0,deafening,a,22,1.342422681,Gustatory,yes,no
arena__n,-0.013223361,0.004375629,-0.015269209,-0.053039511,-0.018449472,arena,n,185,2.267171728,Auditory,no,no
low__r,0,0,0,0,0.084326559,low,r,3016,3.479431337,Haptic,yes,no
victor__n,0.063751235,0,0,0,0.026812967,victor,n,909,2.958563883,Visual,yes,no
low__n,-0.043525884,-0.027437979,-0.039164535,0,0.032747599,low,n,3016,3.479431337,Haptic,yes,no
unpalatable__a,-0.047818609,0.003402964,0.125232502,0,0,unpalatable,a,2,0.301029996,Gustatory,yes,no
buttoned-down__a,-0.039213725,0.012567045,0,0,0.046723491,buttoned-down,a,NA,NA,Haptic,yes,no
low__a,-0.005573647,-0.040246386,0.002562207,-0.051837402,0.022394546,low,a,3016,3.479431337,Haptic,yes,no
authority__n,0.000109796,0.012910783,-0.107707471,-0.10691526,-0.003431889,authority,n,1082,3.034227261,Auditory,yes,no
mollify__v,-0.026611111,0.010004318,0,0,0.048727364,mollify,v,4,0.602059991,Haptic,yes,no
writer-director__n,0.0495764,-0.024476031,0,0,0,writer-director,n,NA,NA,Visual,yes,no
deadpan__r,0,0.082475219,0,0,-0.008841722,deadpan,r,5,0.698970004,Auditory,yes,no
deadpan__v,0.014218718,0,0,0,0.092780202,deadpan,v,5,0.698970004,Haptic,yes,no
agreement__n,-0.006450096,-0.018483028,-0.088489253,-0.12962736,0.016929271,agreement,n,892,2.950364854,Haptic,yes,no
tv__n,0.049060738,-0.024236591,-0.016334998,-0.106236056,-0.022961837,tv,n,5199,3.715919817,Visual,yes,no
profess__v,-0.001826986,-0.004246547,0.012915789,0,-0.023958275,profess,v,18,1.255272505,Gustatory,yes,no
releasable__a,0,0.091911059,0,0,0.091969542,releasable,a,1,0,Haptic,yes,no
undercut__v,0.019450227,-0.017886187,-0.057027934,0,0.001229924,undercut,v,8,0.903089987,Visual,yes,no
cinematic__a,0.034018273,-0.086815377,-0.044021304,0,-0.033587702,cinematic,a,26,1.414973348,Visual,yes,no
cybersquatting__n,0.01954918,0.058398498,0,0,0,cybersquatting,n,NA,NA,Auditory,yes,no
precious__a,-0.020717014,-0.032079477,0.03911771,0,-0.043110229,precious,a,1191,3.075911761,Gustatory,yes,no
narrowly__r,0.003288772,-0.044332394,-0.026521121,0,-0.014666939,narrowly,r,13,1.113943352,Visual,no,no
strain__v,-0.040510708,-0.099093749,0.055289093,0,0.110702044,strain,v,361,2.557507202,Haptic,yes,no
barbaric__a,0.040580646,0,0,0,-0.008841722,barbaric,a,72,1.857332496,Visual,yes,no
strain__n,0.005636531,0.004307374,-0.017153962,-0.015663341,-0.011375983,strain,n,361,2.557507202,Visual,no,no
english-language__a,-0.025421498,0.050891728,0,0,-0.026848903,english-language,a,NA,NA,Auditory,yes,no
rapport__n,-0.010148809,0,0,0,0.024233665,rapport,n,32,1.505149978,Haptic,yes,no
homicide__n,-0.049935373,0.044336662,0,0,-0.012789739,homicide,n,782,2.893206753,Auditory,yes,no
conflagration__n,0.04236469,0.004212054,0.047006127,0,0,conflagration,n,5,0.698970004,Gustatory,yes,no
fraud__n,-0.007397224,0.00370368,-0.112483312,-0.039820103,-0.021450895,fraud,n,512,2.709269961,Auditory,no,no
infuse__v,0.028386177,-0.020156161,0.047671938,0,-0.057784271,infuse,v,9,0.954242509,Gustatory,yes,no
realignment__n,-0.027898934,0.000709123,0,0,-0.02935501,realignment,n,2,0.301029996,Auditory,no,no
waver__v,0.000416333,0.002725405,0,0,-0.001062786,waver,v,22,1.342422681,Auditory,no,no
wrinkled__a,0.009283481,0,0,0,0.056670853,wrinkled,a,86,1.934498451,Haptic,yes,no
psychologically__r,-0.025421498,0.012319915,0,0,0.021617985,psychologically,r,76,1.880813592,Haptic,yes,no
liberated__a,0.048913097,0.009246745,0,0,0.047326455,liberated,a,94,1.973127854,Visual,yes,no
london__n,0,0.042557316,0,0,0.051735155,london,n,2347,3.37051309,Haptic,yes,no
one-night__a,0,0.004212054,0,0,0.012829855,one-night,a,NA,NA,Haptic,yes,no
pail__n,0.00954111,0,0.043238415,0,0.008113705,pail,n,48,1.681241237,Gustatory,yes,no
street__n,0.001097746,-0.02098749,-0.008212424,-0.004252356,0.010866576,street,n,7557,3.878349422,Haptic,yes,no
navigation__n,-0.090063598,1.45E-05,0,0,-0.046243555,navigation,n,87,1.939519253,Auditory,no,no
deluxe__a,0.020091697,0,0,0,-0.008841722,deluxe,a,98,1.991226076,Visual,yes,no
distressing__a,0.024003809,0.013719446,0,0,-0.005035245,distressing,a,42,1.62324929,Visual,yes,no
inclusion__n,-0.024604777,-0.035401343,-0.037181492,0,-0.038696526,inclusion,n,10,1,Olfactory,no,no
woodworking__a,0.097198208,0,0,0,0.045162357,woodworking,a,5,0.698970004,Visual,yes,no
defiance__n,0,0.02031011,0,0,0,defiance,n,57,1.755874856,Auditory,yes,no
riff__n,-0.027898934,0.064656495,0,0,-0.02935501,riff,n,57,1.755874856,Auditory,yes,no
gospel__n,-0.060763827,0.01614559,-0.081534602,0,0.006809788,gospel,n,160,2.204119983,Auditory,yes,no
fess__v,0.060321775,0.02168426,0,0,0,fess,v,30,1.477121255,Visual,yes,no
ferocity__n,0.032570392,0,0,0,0.003300023,ferocity,n,10,1,Visual,yes,no
resilience__n,-0.020816569,0.016079282,0,0,0,resilience,n,7,0.84509804,Auditory,yes,no
newest__a,-0.042085765,-0.067432563,0.00144673,0,-0.020837975,newest,a,201,2.303196057,Gustatory,no,no
combined__a,0.009151355,-0.031045337,-0.033032141,0,-0.021747267,combined,a,211,2.324282455,Visual,no,no
crumb__n,-0.023780936,-0.088811654,0.168245653,0,-0.044440848,crumb,n,92,1.963787827,Gustatory,yes,no
coaster__n,-0.069937136,0.013635632,0,0,0.001981288,coaster,n,159,2.201397124,Auditory,yes,no
self-injurers__n,0,0,0,0,0.097257348,self-injurers,n,NA,NA,Haptic,yes,no
port-like__a,0.070896418,0,0.106271986,0,0,port-like,a,NA,NA,Gustatory,yes,no
brick__n,0.039412733,-0.01342686,-0.014026366,0,-0.02132296,brick,n,519,2.715167358,Visual,yes,no
horsepower__n,-0.06089525,-0.024161263,0.001839741,0,0.021728097,horsepower,n,62,1.792391689,Haptic,yes,no
flight__n,-0.027276533,0.005412119,-0.045491577,-0.114365412,0.030903369,flight,n,3044,3.483444648,Haptic,yes,no
tinny__a,0,0.037558717,0.081540385,0,0,tinny,a,2,0.301029996,Gustatory,yes,no
cruelty__n,-0.029224884,-0.00471136,0.040863732,0,0,cruelty,n,166,2.220108088,Gustatory,yes,no
fading__a,0.012704432,-0.027595775,0.029984518,0,-0.018297704,fading,a,125,2.096910013,Gustatory,yes,no
case__n,0.007906985,0.009654444,-0.05795014,-0.085960809,-0.026769495,case,n,14403,4.158452961,Auditory,no,no
converted__n,0.096137475,0,0,0,0,converted,n,132,2.120573931,Visual,yes,no
converted__a,0,0,0.034099082,0,-0.027999974,converted,a,132,2.120573931,Gustatory,yes,no
midget__n,0.01954918,0,0,0,0.018160317,midget,n,235,2.371067862,Visual,yes,no
veterinarian__n,-0.056356866,0.017178236,0.047671938,0,-0.023648476,veterinarian,n,64,1.806179974,Gustatory,yes,no
smokestack__n,0.023466676,0,0.037012004,0.146606564,-0.025165707,smokestack,n,9,0.954242509,Olfactory,yes,no
expanded__a,0.01954918,0,0,0,0.018160317,expanded,a,55,1.740362689,Visual,yes,no
cautious__a,0.017235216,0.02416835,-0.064870479,0,0.004067466,cautious,a,171,2.23299611,Auditory,yes,no
die-off__n,0,0,0.087495734,0,0.023954859,die-off,n,NA,NA,Gustatory,yes,no
liberal__n,-0.012121701,0.011355925,-0.036888284,0,-0.031585855,liberal,n,203,2.307496038,Auditory,yes,no
dining__n,-0.003436245,-0.0827553,-0.00472317,-0.000676319,-0.034905003,dining,n,598,2.776701184,Olfactory,no,no
liberal__a,-0.018545934,-0.016777818,-0.02982299,-0.047152977,-0.010995888,liberal,a,203,2.307496038,Haptic,no,no
disagreeable__a,0,0,0.115992891,0,0,disagreeable,a,49,1.69019608,Gustatory,yes,no
defensively__r,-0.03859415,0.031252252,0.012885606,0,0.038374484,defensively,r,12,1.079181246,Haptic,yes,no
flower__n,0.071425905,-0.090881822,0.032335799,0.110328678,-0.022622306,flower,n,1161,3.06483222,Olfactory,yes,no
origin__n,0.000481841,-0.002747357,-0.019754947,0.029623585,-0.125711419,origin,n,227,2.356025857,Olfactory,yes,no
flower__v,0.036645611,0,0.006176298,0,-0.001025629,flower,v,1161,3.06483222,Visual,yes,no
caldera__a,0.129163449,0,0,0,0,caldera,a,6,0.77815125,Visual,yes,no
brazilian__n,0.028292087,-0.01794405,0,0,-0.035843761,brazilian,n,105,2.021189299,Visual,yes,no
fructose__n,0,0,0.173163252,0,0,fructose,n,3,0.477121255,Gustatory,yes,no
commiserate__v,0,0,0.064478334,0,0.080162686,commiserate,v,9,0.954242509,Haptic,yes,no
nonpayment__n,-0.011053478,-0.021060143,0,0,0.065513079,nonpayment,n,8,0.903089987,Haptic,yes,no
birdseed__n,0.04236469,0,0,0,0.012829855,birdseed,n,18,1.255272505,Visual,yes,no
playwright__n,-0.043831952,-0.0042155,-0.099318534,0.038277465,0.010523113,playwright,n,72,1.857332496,Olfactory,yes,no
umpiring__n,0,-0.036617776,0.097760274,0,-0.001025629,umpiring,n,2,0.301029996,Gustatory,yes,no
traffic__n,0.002504941,-0.006752974,-0.011350342,0,0.001787235,traffic,n,1454,3.162564407,Visual,no,no
